EQUIPE;ADVERSÁRIO;DATA;RODADA;HORÁRIO;COMPETIÇÃO;RESULTADO;MANDO;MINUTO;AUTOR DO GOL;POSIÇÃO DO AUTOR;EXECUÇÃO DA FINALIZAÇÃO;ZONA DA FINALIZAÇÃO;ASSISTENTE;POSIÇÃO DO ASSISTENTE;ZONA DA ASSISTÊNCIA ;TERÇO DA ASSISTÊNCIA;TIPO DE PASSE/AÇÃO DA ASSISTÊNCIA;ORIGEM DA JOGADA;FORMA DA FINALIZAÇÃO;OBSERVAÇÃO
GUARANI DIVINÓPOLIS 2026;MAMORÉ;13/jun;3;15:30;MÓDULO ll;2x1;casa;44:00:00;Maycon Rangel;EXT E;PÉ DIREITO;Dentro da área - Esquerda;Denilson;LE;Meio-espaço esquerdo;3 - Último terço;Passe curto;Reação pós-perda;Após condução;
GUARANI DIVINÓPOLIS 2026;MAMORÉ;13/jun;3;15:30;MÓDULO ll;2x1;casa;65:00:00;Giovanny Morais;MEI;PÉ ESQUERDO;Dentro da área - Esquerda; ZÉ ANDRADE;CA;Dentro da área - Esquerda;3 - Último terço;Pivô;Transição ofensiva;De primeira;
GUARANI DIVINÓPOLIS 2026;UBERABA;20/jun;5;17:30;MÓDULO ll;2x2;fora;66:00:00;Jackson;CA;PÉ DIREITO;Pequena área - Centro;Denilson;LE;Dentro da área - Centro;3 - Último terço;Casquinha;Bola parada;De primeira;
GUARANI DIVINÓPOLIS 2026;UBERABA;20/jun;5;17:30;MÓDULO ll;2X2;casa;73:00:00;Giovanny Morais;MEI;PÉ ESQUERDO;Dentro da área - Centro;Humberto;VOL;Meio-espaço esquerdo;2 - Segundo terço;Passe em profundidade;Transição ofensiva;De primeira;
GUARANI DIVINÓPOLIS 2026;UBERABA;23/jun;6;19:30;MÓDULO ll;2x1;fora;15:00;Jackson;CA;PÉ ESQUERDO;Pequena área - Centro;Júlio;ZG;Corredor direito;2 - Segundo terço;Cruzamento;Ataque posicional;De primeira;
GUARANI DIVINÓPOLIS 2026;CALDENSE;27/jun;7;17:30;MÓDULO ll;2x0;casa;81:00:00;Pedrinho;CA;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Reação pós-perda;Pênalti;
GUARANI DIVINÓPOLIS 2026;CALDENSE;27/jun;7;17:30;MÓDULO ll;2x0;casa;96:00:00;Maycon Rangel;EXT E;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Transição ofensiva;Pênalti;
GUARANI DIVINÓPOLIS 2026;MAMORÉ;01/jul;8;19:00;MÓDULO ll;2x2;fora;15:00;Jackson;CA;PÉ DIREITO;Dentro da área - Centro;Lucas;LD;Corredor direito;3 - Último terço;Cruzamento;Ataque posicional;Após domínio;
GUARANI DIVINÓPOLIS 2026;MAMORÉ;01/jul;8;19:00;MÓDULO ll;2x2;fora;86:00:00;Daniel Bahia;CA;CABECEIO;Dentro da área - Centro;Fidélis;MC;Corredor direito;3 - Último terço;Cruzamento;Bola parada;De primeira;
GUARANI DIVINÓPOLIS 2026;PATROCINENSE;04/jul;9;16:00;MÓDULO ll;0x1;fora;49:00:00;Léo Santos;ZG;PÉ ESQUERDO;Dentro da área - Centro;Maycon Rangel;EXT E;Corredor central;3 - Último terço;Rebote;Bola parada;De primeira;
GUARANI DIVINÓPOLIS 2026;BOA ESPORTE;12/jul;10;15:00;MÓDULO ll;2x4;casa;49:00:00;Pedrinho;CA;PÉ DIREITO;Pequena área - Esquerda;Maycon Rangel;EXT E;Meio-espaço direito;3 - Último terço;Rebote;Reação pós-perda;De primeira;
GUARANI DIVINÓPOLIS 2026;BOA ESPORTE;12/jul;10;15:00;MÓDULO ll;2x4;casa;89:00:00;Jackson;CA;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Subindo pressão;Pênalti;
QFC 2026;GLOBO;11/jan;1;15:00;POTIGUAR ;0x1;fora;24:00:00;Gol Contra;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Erro adversário;Bola parada;Gol contra;
QFC 2026;LAGUNA;14/01/2026;2;15:00;POTIGUAR ;1x4;fora;19:00;Diego Costa;CA;PÉ DIREITO;Fora da área - Centro;N/A;N/A;N/A;N/A;Erro adversário;Transição ofensiva;De primeira;
QFC 2026;LAGUNA;14/01/2026;2;15:00;POTIGUAR ;1x4;fora;55:00:00;Rafael;VOL;PÉ DIREITO;Fora da área - Centro;Dieguinho;MEI;Corredor central;3 - Último terço;Pivô;Ataque posicional;De primeira;
QFC 2026;LAGUNA;14/01/2026;2;15:00;POTIGUAR ;1x4;fora;91:00:00;Paulinho;CA;PÉ DIREITO;Pequena área - Centro;Dieguinho;MEI;Meio-espaço esquerdo;2 - Segundo terço;Passe em profundidade;Transição ofensiva;Após drible;
QFC 2026;LAGUNA;14/01/2026;2;15:00;POTIGUAR ;1x4;fora;96:00:00;Paulinho;CA;CABECEIO;Pequena área - Centro;Israel;LD;Dentro da área - Direita;3 - Último terço;Cruzamento;Transição ofensiva;De primeira;
QFC 2026;SANTA CRUZ DE NATAL;25/01/2026;4;15:30;POTIGUAR ;1x4;fora;27:00:00;Vitinho;MC;PÉ DIREITO;Pequena área - Centro;Dieguinho;MEI;Corredor central;3 - Último terço;Passe em profundidade;Ataque posicional;De primeira;
QFC 2026;SANTA CRUZ DE NATAL;25/01/2026;4;15:30;POTIGUAR ;1x4;fora;57:00:00;Vitão;ZG;PÉ DIREITO;Pequena área - Centro;Pedro;ZG;Dentro da área - Centro;3 - Último terço;Casquinha;Bola parada;De primeira;
QFC 2026;SANTA CRUZ DE NATAL;25/01/2026;4;15:30;POTIGUAR ;1x4;fora;74:00:00;Paulinho;CA;PÉ ESQUERDO;Dentro da área - Centro;Dieguinho;MEI;Meio-espaço direito;1 - Primeiro terço;Passe em profundidade;Transição ofensiva;Após drible;
QFC 2026;SANTA CRUZ DE NATAL;25/01/2026;4;15:30;POTIGUAR ;1x4;fora;88:00:00;Paulinho;CA;PÉ ESQUERDO;Dentro da área - Centro;Talysson;EXT E;Corredor esquerdo;3 - Último terço;Cruzamento;Transição ofensiva;Após domínio;
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;26:00:00;Carlos;LE;PÉ ESQUERDO;Dentro da área - Centro;Rafael;VOL;Dentro da área - Esquerda;3 - Último terço;Casquinha;Bola parada;De primeira;
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;32:00:00;Paulinho;CA;CABECEIO;Dentro da área - Centro;Talysson;EXT E;Corredor esquerdo;3 - Último terço;Cruzamento;Ataque posicional;De primeira;
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;83:00:00;Diego Costa;CA;PÉ DIREITO;Fora da área - Centro;Beto;MEI;Meio-espaço direito;2 - Segundo terço;Passe em profundidade;Transição ofensiva;De primeira;
